CustomerID,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,Month,Gender,Location,Tenure_Months,GST,Coupon_Code,Discount_pct,Date,Offline_Spend,Online_Spend,Invoice_Value
17850,16679,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used,Jan,M,Chicago,12,0.1,ELEC10,10.0,2019-01-01,4500,2424.5,158.6729
17850,16680,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used,Jan,M,Chicago,12,0.1,ELEC10,10.0,2019-01-01,4500,2424.5,158.6729
17850,16681,2019-01-01,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Office,1,2.05,6.5,Used,Jan,M,Chicago,12,0.1,OFF10,10.0,2019-01-01,4500,2424.5,8.5295
17850,16682,2019-01-01,GGOEGAAB010516,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,5,17.53,6.5,Not Used,Jan,M,Chicago,12,0.18,SALE10,10.0,2019-01-01,4500,2424.5,99.5843
17850,16682,2019-01-01,GGOEGBJL013999,Google Canvas Tote Natural/Navy,Bags,1,16.5,6.5,Used,Jan,M,Chicago,12,0.18,AIO10,10.0,2019-01-01,4500,2424.5,24.023
17850,16682,2019-01-01,GGOEGBMJ013399,Sport Bag,Bags,15,5.15,6.5,Used,Jan,M,Chicago,12,0.18,AIO10,10.0,2019-01-01,4500,2424.5,88.5395
17850,16682,2019-01-01,GGOEGDHC018299,Google 22 oz Water Bottle,Drinkware,15,3.08,6.5,Not Used,Jan,M,Chicago,12,0.18,EXTRA10,10.0,2019-01-01,4500,2424.5,55.564400000000006
17850,16682,2019-01-01,GGOEGDHG014499,Google Infuser-Top Water Bottle,Drinkware,15,10.31,6.5,Clicked,Jan,M,Chicago,12,0.18,EXTRA10,10.0,2019-01-01,4500,2424.5,170.73829999999998
17850,16682,2019-01-01,GGOEGDWC020199,Engraved Ceramic Google Mug,Drinkware,5,9.27,6.5,Used,Jan,M,Chicago,12,0.18,EXTRA10,10.0,2019-01-01,4500,2424.5,55.723699999999994
13047,16682,2019-01-01,GGOEGGOA017399,Maze Pen,Office,52,0.98,6.5,Used,Jan,M,California,43,0.1,OFF10,10.0,2019-01-01,4500,2424.5,56.95040000000001
13047,16682,2019-01-01,GGOEGOFH020299,Galaxy Screen Cleaning Cloth,Office,31,1.99,6.5,Clicked,Jan,M,California,43,0.1,OFF10,10.0,2019-01-01,4500,2424.5,67.57310000000001
13047,16682,2019-01-01,GGOEGOXQ016399,Badge Holder,Office,31,1.99,6.5,Clicked,Jan,M,California,43,0.1,OFF10,10.0,2019-01-01,4500,2424.5,67.57310000000001
13047,16682,2019-01-01,GGOEYAAB031816,YouTube Men's Short Sleeve Hero Tee Black,Apparel,5,17.53,6.5,Used,Jan,M,California,43,0.18,SALE10,10.0,2019-01-01,4500,2424.5,99.5843
13047,16684,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,Clicked,Jan,M,California,43,0.1,ELEC10,10.0,2019-01-01,4500,2424.5,249.5846
13047,16684,2019-01-01,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,6.5,Used,Jan,M,California,43,0.1,ELEC10,10.0,2019-01-01,4500,2424.5,87.18500000000002
13047,16685,2019-01-01,GGOEGAAR010714,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel,1,14.02,6.5,Used,Jan,M,California,43,0.18,SALE10,10.0,2019-01-01,4500,2424.5,21.38924
